Algorithm,Precision (Top 50),Recall (Top 50),F1-score (Top 50),Accuracy (Top 50),Precision (Top 17),Recall (Top 17),F1-score (Top 17),Accuracy (Top 17),Precision (Top 44),Recall (Top 44),F1-score (Top 44),Accuracy (Top 44),Precision (Top 89),Recall (Top 89),F1-score (Top 89),Accuracy (Top 89),Precision (Top 179),Recall (Top 179),F1-score (Top 179),Accuracy (Top 179)
DIAMOnD_5_0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOnD_10_0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOnD_15_0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOnD_5_0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOnD_20_0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIAMOnD_20_0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiaBLE_1000_5_0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiaBLE_2000_10_0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiaBLE_3000_15_0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiaBLE_500_5_0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiaBLE_4000_20_0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiaBLE_4000_20_0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diffusion_r=0.002_mi=100_tol=1e-06_ens=1,0.544,0.7771428571428572,0.64,0.4710173666193538,1.0,0.48571428571428565,0.6538461538461539,0.48571428571428565,0.6090909090909091,0.7657142857142858,0.6784810126582279,0.5141857764876633,0.3258426966292135,0.8285714285714286,0.467741935483871,0.3053788727136991,0.16983240223463686,0.8685714285714285,0.28411214953271025,0.16561335924129938
Diffusion_r=0.01_mi=200_tol=1e-07_ens=1,0.54,0.7714285714285715,0.6352941176470588,0.46866231563800814,1.0,0.48571428571428565,0.6538461538461539,0.48571428571428565,0.6,0.7542857142857142,0.6683544303797468,0.5046586620926243,0.3235955056179775,0.8228571428571427,0.46451612903225803,0.30304704378612557,0.1687150837988827,0.8628571428571428,0.2822429906542056,0.1644100990061327
Diffusion_r=0.005_mi=150_tol=1e-07_ens=3,0.544,0.7771428571428572,0.64,0.4711916773230563,0.9882352941176471,0.48,0.6461538461538462,0.4774603174603175,0.6136363636363636,0.7714285714285715,0.6835443037974683,0.5199187227866473,0.3258426966292135,0.8285714285714286,0.467741935483871,0.30532101530421796,0.16983240223463686,0.8685714285714285,0.28411214953271025,0.16559961777353083
Diffusion_r=0.0005_mi=200_tol=1e-08_ens=5,0.544,0.7771428571428571,0.64,0.47190889795553115,1.0,0.48571428571428565,0.6538461538461539,0.48571428571428565,0.6045454545454546,0.76,0.6734177215189874,0.508665161533086,0.3258426966292135,0.8285714285714285,0.4677419354838709,0.30560321777087096,0.16983240223463686,0.8685714285714285,0.28411214953271025,0.1655856497980518
Diffusion_r=0.02_mi=200_tol=1e-08_ens=3,0.536,0.7657142857142857,0.6305882352941177,0.4671401293633715,1.0,0.48571428571428565,0.6538461538461539,0.48571428571428565,0.5954545454545455,0.7485714285714286,0.6632911392405063,0.503174087816945,0.3235955056179775,0.8228571428571427,0.4645161290322581,0.30420654598752017,0.16871508379888267,0.8628571428571428,0.2822429906542056,0.16443915314704835
Diffusion_r=0.01_mi=200_tol=1e-08_ens=10,0.548,0.7828571428571429,0.6447058823529412,0.4805024714564189,0.9882352941176471,0.48,0.6461538461538462,0.4774603174603175,0.6090909090909091,0.7657142857142858,0.6784810126582279,0.5187799018110824,0.3258426966292135,0.8285714285714286,0.467741935483871,0.30600531828829214,0.16983240223463686,0.8685714285714285,0.28411214953271025,0.16566878800462334
